	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	CIDADE_ELABORACAO	SEC_ELABORACAO	DEP_ELABORACAO	NUM_BO	ANO_BO	DATA_FATO	dia	mês	ano	MÊS OCOR	ANO OCOR	DP_ELABORACAO	COORPORAÇÃO	SITUAÇÃO	ID_DELEGACIA	MUNICIPIO_CIRC	"DEPARTAMENTO_
CIRC"	SECCIONAL_CIRC	CIRCUNSCRIÇÃO	DESCR_TIPO_PESSOA	SEXO_PESSOA	IDADE_PESSOA	COR	DATA_NASCIMENTO_PESSOA	DESCR_PROFISSAO	HORA_FATO	DESCR_TIPOLOCAL	LOGRADOURO	NUMERO_LOGRADOURO	LATITUDE	LONGITUDE	NATUREZAS	CONDUTA	DESDOBRAMENTO	FLAG_VITIMA_FATAL	DATAHORA_REGISTRO_BO	HORA_FATO_HOUR_ONLY	COR_FOMATADO	SEXO_FOMATADO
0	0	0	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	2	2013	01/01/2013	1	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.7º ITAQUERA	103º D.P. COHABII/ITAQU.	Indiciado	Masculino	20	Branca	15/06/1992	NÃO INFORMADO	02:00:00	Via pública	R LUIS MATHEUS	1	-23.5427005532406	-46.4249233606247	Homicídio simples (art. 121)			Sim	01/01/2013	02	Branca	Masculino
1	1	1	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	4	2013	01/01/2013	1	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.BERNARDO DO CAMPO	DEMACRO	DEL.SEC.S.BERNARDO DO CAMPO	03º D.P. S.BERNARDO DO CAMPO	Vítima	Masculino	25	Parda	13/10/1987	PINTOR(A)	18:10:00	Residência	DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS 		-23.56286999999997	-46.65467999999999	Resistência (art. 329)			Sim	01/01/2013	18	Parda	Masculino
2	2	2	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	6	2013	02/01/2013	2	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.5º LESTE	57º D.P. PARQUE DA MOOCA	Vítima	Masculino	NÃO INFORMADO	Branca	NÃO INFORMADO	NÃO INFORMADO	00:09:00	Residência	DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS 		-23.56286999999997	-46.65467999999999	Ato Infracional			Sim	02/01/2013	00	Branca	Masculino
3	3	3	BAURU	DEL.SEC.BAURU	DEINTER 4 - BAURU	9	2013	30/01/2013	30	1	2013	1	2013	DEL.INV.GER. BAURU	PM	serviço	60001	BAURU	DEINTER 4 - BAURU	DEL.SEC.BAURU	04º D.P. BAURU	Vítima	Masculino	18	Branca	09/03/1994	DESEMPREGADO	22:45:00	Via pública	R SANTA AGUEDA	96	-22.3137218144489	-49.0316857387405	Homicídio simples (art. 121)			Sim	31/01/2013	22	Branca	Masculino
4	4	4	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	9	2013	03/01/2013	3	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.7º ITAQUERA	68º D.P. LAGEADO	Autor	Masculino	17	Parda	28/06/1995	DESEMPREGADO	20:50:00	Via pública	R ORMINDA PINTO VIELA	6	-23.52518457255996	-46.40424841281278	Resistência (art. 329)			Sim	03/01/2013	20	Parda	Masculino
5	5	5	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	11	2013	03/01/2013	3	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.8º SAO MATEUS	70º D.P. VILA EMA	Vítima	Masculino	17	Parda	21/02/1995	AJUDANTE	23:00:00	Via pública	R BATISTA FERGUSIO	1397	-23.623691596492602	-46.5079900935042	Resistência (art. 329)			Sim	04/01/2013	23	Parda	Masculino
6	6	6	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	13	2013	04/01/2013	4	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.7º ITAQUERA	50º D.P. ITAIM PAULISTA	Autor	Masculino	21	Parda	03/10/1991	ERENILSON DANTAS DA SILVA	06:40:00	Via pública	AV MAL TITO	6423	-23.490964690575105	-46.38649642028751	Resistência (art. 329)			Sim	04/01/2013	06	Parda	Masculino
7	7	7	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	15	2013	04/01/2013	4	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.8º SAO MATEUS	44º D.P. GUAIANAZES	Autor/Vitima	Masculino	15	Parda	12/04/1997	ESTUDANTE	10:30:00	Comércio e serviços	R COPENHAGUE	134	-23.543071395242	-46.412632642855606	Ato Infracional			Sim	05/01/2013	10	Parda	Masculino
8	8	8	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	15	2013	04/01/2013	4	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.8º SAO MATEUS	44º D.P. GUAIANAZES	Autor/Vitima	Masculino	16	Parda	22/05/1996	ESTUDANTE	10:30:00	Comércio e serviços	R COPENHAGUE	134	-23.543071395242	-46.412632642855606	Ato Infracional			Sim	05/01/2013	10	Parda	Masculino
9	9	9	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	17	2013	04/01/2013	4	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.3º OESTE	51º D.P. RIO PEQUENO	Autor/Vitima	Masculino	28	Parda	12/11/1984	MOTO-BOY	00:15:00	Via pública	AV MAL FIUZA DE CASTRO	260	-23.5830771378725	-46.745057428157104	Localização/Apreensão de objeto			Sim	05/01/2013	00	Parda	Masculino
